title,authors,year,doi,url,publisher,type,reference_count,is_referenced_by_count
Halophile,,,10.1007/springerreference_222965,https://doi.org/10.1007/springerreference_222965,Springer-Verlag,reference-entry,0,0
"halophile, n. &amp; adj.",,2023,10.1093/oed/4157085580,https://doi.org/10.1093/oed/4157085580,Oxford University Press,book-chapter,0,0
Halophile,Josefa Anton,2023,10.1007/978-3-662-65093-6_694,https://doi.org/10.1007/978-3-662-65093-6_694,Springer Berlin Heidelberg,book-chapter,6,0
Halophile,Josefa Anton,2015,10.1007/978-3-662-44185-5_694,https://doi.org/10.1007/978-3-662-44185-5_694,Springer Berlin Heidelberg,book-chapter,6,0
Halophile,Josefa Anton,2014,10.1007/978-3-642-27833-4_694-2,https://doi.org/10.1007/978-3-642-27833-4_694-2,Springer Berlin Heidelberg,book-chapter,6,0
Halophile,Jan W. Gooch,2011,10.1007/978-1-4419-6247-8_13876,https://doi.org/10.1007/978-1-4419-6247-8_13876,Springer New York,book-chapter,0,0
Halophile,Josefa Antón,2011,10.1007/978-3-642-11274-4_694,https://doi.org/10.1007/978-3-642-11274-4_694,Springer Berlin Heidelberg,book-chapter,0,1
Halophile,Andreas Stolz,2017,10.1007/978-3-662-55595-8_7,https://doi.org/10.1007/978-3-662-55595-8_7,Springer Berlin Heidelberg,book-chapter,48,0
HALOPHYTE,,2014,10.4135/9781446247501.n1826,https://doi.org/10.4135/9781446247501.n1826,"SAGE Publications, Ltd.",reference-entry,0,0
Proposal for new halophile classification system based on Statistical Rarity definition of extremophiles,"Ana Paula Muche Schiavo, Roberta Almeida Vincenzi, Fabio Rodrigues",2025,10.21203/rs.3.rs-8012852/v1,https://doi.org/10.21203/rs.3.rs-8012852/v1,Springer Science and Business Media LLC,posted-content,17,0
