species,classification,halotolerant,url
Aeluropus lagopoides,plant,no,https://www.gbif.org/species/4136488
Aeluropus sp,unknown,no,
Aeluropus spp,unknown,no,
Alkalibacterium,bacteria,no,https://www.gbif.org/species/3227146
Alkalilimnicola ehrlichii,bacteria,yes,https://www.gbif.org/species/7417445
Alkalilimnicola sp,bacteria,yes,https://www.gbif.org/species/3222608
Alkalilimnicola spp,bacteria,yes,https://www.gbif.org/species/3222608
Allenrolfea occidentalis,plant,no,https://www.gbif.org/species/3083574
Allenrolfea sp,plant,no,https://www.gbif.org/species/3083573
Allenrolfea spp,plant,no,https://www.gbif.org/species/3083573
Ammophila arenaria,unknown,no,
Ammophila sp,unknown,no,
Ammophila spp,unknown,no,
Anabasis setifera,plant,no,https://www.gbif.org/species/5568513
Anabasis sp,unknown,no,
Anabasis spp,unknown,no,
Aphanothece halophytica,bacteria,no,https://www.gbif.org/species/10793096
Aphanothece sp,bacteria,no,https://www.gbif.org/species/10793096
Aphanothece spp,bacteria,no,https://www.gbif.org/species/10793096
Arabidopsis,plant,no,https://www.gbif.org/species/3052435
Arbuscular mycorrhizal,unknown,no,
Artemia salina,animal,no,https://www.gbif.org/species/2235237
Artemia sp,animal,no,https://www.gbif.org/species/2235232
Artemia spp,animal,no,https://www.gbif.org/species/2235232
Arthrobacter,bacteria,no,https://www.gbif.org/species/3836
Arthrocnemum macrostachyum,plant,no,https://www.gbif.org/species/3064
Arthrocnemum sp,plant,no,https://www.gbif.org/species/3083986
Arthrocnemum spp,plant,no,https://www.gbif.org/species/3083986
Aspergillus,unknown,no,
Atriplex canescens,plant,no,https://www.gbif.org/species/3083750
Atriplex dimorphostegia,plant,no,https://www.gbif.org/species/6035855
Atriplex glauca,plant,no,https://www.gbif.org/species/7501008
Atriplex halimus,plant,no,https://www.gbif.org/species/3083718
Atriplex lentiformis,plant,no,https://www.gbif.org/species/3083785
Atriplex nitens,plant,no,https://www.gbif.org/species/3083677
Atriplex patula,plant,no,https://www.gbif.org/species/3083728
Atriplex prostrata,plant,no,https://www.gbif.org/species/3083786
Atriplex rosea,plant,no,https://www.gbif.org/species/3083745
Atriplex sp,plant,no,https://www.gbif.org/species/10651755
Atriplex spp,plant,no,https://www.gbif.org/species/10651755
Atriplex tatarica,plant,no,https://www.gbif.org/species/3083702
Atriplex triangularis,plant,no,https://www.gbif.org/species/3083788
Avicennia germinans,plant,no,https://www.gbif.org/species/2925400
Avicennia marina,plant,no,https://www.gbif.org/species/2925403
Avicennia sp,plant,no,https://www.gbif.org/species/2925398
Avicennia spp,plant,no,https://www.gbif.org/species/2925398
Azospirillum,bacteria,no,https://www.gbif.org/species/3221657
Azotobacter,bacteria,no,https://www.gbif.org/species/3223250
Bacillus,unknown,no,
Bacillus aquimaris,bacteria,no,https://www.gbif.org/species/5428024
Bacillus licheniformis,bacteria,no,https://www.gbif.org/species/5428113
Bacillus sp,unknown,no,
Bacillus spp,unknown,no,
Batis argillicola,plant,no,https://www.gbif.org/species/5680438
Batis maritima,plant,no,https://www.gbif.org/species/5414196
Batis sp,unknown,no,
Batis spp,unknown,no,
