species_name,url,kingdom,halotolerant,article_count,article_pct,article_count_2plus,article_pct_2plus
Suaeda maritima,https://www.gbif.org/species/3083541,Plantae,No,70,2.6365348399246704,56,2.832574607991907
Sesuvium portulacastrum,https://www.gbif.org/species/3084883,Plantae,No,47,1.770244821092279,34,1.719777440566515
Halomonas,https://www.gbif.org/species/9535,Bacteria,No,42,1.5819209039548021,35,1.7703591299949417
Cakile maritima,https://www.gbif.org/species/3048831,Plantae,No,42,1.5819209039548021,35,1.7703591299949417
Salicornia europaea,https://www.gbif.org/species/12239479,Plantae,No,27,1.0169491525423728,22,1.112797167425392
Spartina alterniflora,https://www.gbif.org/species/5290035,Plantae,No,24,0.903954802259887,24,1.2139605462822458
Salicornia bigelovii,https://www.gbif.org/species/5383959,Plantae,No,22,0.8286252354048964,21,1.062215477996965
Arthrocnemum macrostachyum,https://www.gbif.org/species/3064,Plantae,No,21,0.7909604519774011,16,0.8093070308548306
Halobacterium cutirubrum,https://www.gbif.org/species/1000184,Archaea,No,19,0.7156308851224105,19,0.9610520991401114
Atriplex halimus,https://www.gbif.org/species/3083718,Plantae,No,17,0.64030131826742,14,0.7081436519979768
Vibrio costicola,https://www.gbif.org/species/8902867,Bacteria,No,15,0.5649717514124294,14,0.7081436519979768
Pseudomonas,https://www.gbif.org/species/5607,Bacteria,No,15,0.5649717514124294,13,0.6575619625695498
Kosteletzkya virginica,https://www.gbif.org/species/3152482,Plantae,No,13,0.4896421845574388,13,0.6575619625695498
Halogeton glomeratus,https://www.gbif.org/species/3083621,Plantae,No,12,0.4519774011299435,11,0.556398583712696
Atriplex canescens,https://www.gbif.org/species/3083750,Plantae,No,11,0.4143126177024482,9,0.4552352048558422
Aspergillus,,,No,10,0.3766478342749529,7,0.3540718259989884
Haloferax mediterranei,https://www.gbif.org/species/1000204,Archaea,No,9,0.3389830508474576,8,0.4046535154274153
Halobacillus,https://www.gbif.org/species/3227822,Bacteria,No,9,0.3389830508474576,9,0.4552352048558422
Aeluropus lagopoides,https://www.gbif.org/species/4136488,Plantae,No,9,0.3389830508474576,8,0.4046535154274153
Tamarix sp,https://www.gbif.org/species/2874694,Plantae,No,8,0.3013182674199623,0,0.0
Halimione portulacoides,https://www.gbif.org/species/3756031,Plantae,No,8,0.3013182674199623,6,0.30349013657056145
Tamarix spp,https://www.gbif.org/species/2874694,Plantae,No,8,0.3013182674199623,0,0.0
Arbuscular mycorrhizal,,,No,7,0.263653483992467,6,0.30349013657056145
Haloferax volcanii,https://www.gbif.org/species/1000201,Archaea,No,7,0.263653483992467,6,0.30349013657056145
Bacillus sp,,,No,7,0.263653483992467,7,0.3540718259989884
Halomonas elongata,https://www.gbif.org/species/3222126,Bacteria,No,7,0.263653483992467,6,0.30349013657056145
Halobacterium salinarum,https://www.gbif.org/species/7357253,Archaea,No,7,0.263653483992467,6,0.30349013657056145
Marinobacter,https://www.gbif.org/species/5606,Bacteria,No,7,0.263653483992467,6,0.30349013657056145
Avicennia marina,https://www.gbif.org/species/2925403,Plantae,No,6,0.22598870056497175,4,0.20232675771370764
Tripolium pannonicum,https://www.gbif.org/species/3098616,Plantae,No,6,0.22598870056497175,5,0.25290844714213456
Penicillium,https://www.gbif.org/species/95,Fungi,No,6,0.22598870056497175,2,0.10116337885685382
bacillus subtilis,https://www.gbif.org/species/10826006,Bacteria,No,6,0.22598870056497175,4,0.20232675771370764
Salsola soda,https://www.gbif.org/species/8266023,Plantae,No,5,0.18832391713747645,5,0.25290844714213456
Sarcocornia quinqueflora,https://www.gbif.org/species/7340091,Plantae,No,5,0.18832391713747645,4,0.20232675771370764
Enterobacter,https://www.gbif.org/species/3221976,Bacteria,No,5,0.18832391713747645,5,0.25290844714213456
Streptomyces,https://www.gbif.org/species/8091,Bacteria,No,5,0.18832391713747645,4,0.20232675771370764
Chromohalobacter salexigens,https://www.gbif.org/species/3222068,Bacteria,No,5,0.18832391713747645,3,0.15174506828528073
Halomonas sp,https://www.gbif.org/species/9535,Bacteria,No,5,0.18832391713747645,4,0.20232675771370764
Plantago maritima,https://www.gbif.org/species/3189755,Plantae,No,4,0.15065913370998116,4,0.20232675771370764
Salicornia sp,,,No,4,0.15065913370998116,2,0.10116337885685382
Aphanothece halophytica,https://www.gbif.org/species/10793096,Bacteria,No,4,0.15065913370998116,3,0.15174506828528073
Paenibacillus,https://www.gbif.org/species/4706,Bacteria,No,4,0.15065913370998116,4,0.20232675771370764
Laguncularia racemosa,https://www.gbif.org/species/3189382,Plantae,No,4,0.15065913370998116,1,0.05058168942842691
Lepidium latifolium,https://www.gbif.org/species/5376692,Plantae,No,4,0.15065913370998116,2,0.10116337885685382
