University of Rostock ;; Rostock, Germany
Leibniz-Institut fur Pflanzengenetik und Kulturpflanzenforschung Gatersleben ;; Gatersleben, Germany
Shandong Normal University ;; Shandong, China, 250061
King Abdullah University of Science and Technology ;; Thuwal, Saudi Arabia
Xinjiang University ;; Xinjiang, China, 830049
Korea Research Institute of Bioscience and Biotechnology;;  1404-1 Sinjeong-dong, Jeongeup-si, Jeonbuk State, South Korea
Lund University ;; Lund, Sweden
Northeast Agricultural University ;;  Harbin, Heilongjiang
Center of Marine Sciences, Faro, Portugal ;; Campus de Gambelas, Faro, Portugal
Masdar Institute of Science and Technology ;; Masdar City, Abu Dhabi, United Arab Emirates
Ocean University of China ;;Shandong, China, 266005
Qingdao University ;;  Shandong, China, 266071
Director of Institute of Biological Research and Biotechnology ;; Athina 116 35, Greece
Chinese Academy of Science ;; , Laoshan District, Qingdao, Shandong, China, 266104
Qingdao National Laboratory for Marine Science and Technology ;; China, Shandong, Qingdao, Shinan District, 266005
Aalborg University ;; 6700 Esbjerg, Denmark
University of Almeria ;; Almería, Spain
University of Lisbon ;; Lisbon, Portugal
National Chung Hsing University ;; Taichung 40227, Taiwan
Aachen University ;; Aachen 52074, Germany
Ocean University of China ;; Qingdao 266003, China
Academy of Scientific and Innovative Research ;; New Delhi, India
Academy of Scientific and Innovative Research ;; Bhavnagar 364002, Gujarat, India
University of Florida ;; Gainesville, FL 32608
University of Djelfa ;; Djelfa, Algeria
