Acetohalobium arabaticum
Acidithiobacillus ferrooxidans
Acinetobacter spp.
Actinobacteria bacterium
Actinopolyspora halophila
Aegiceras corniculatum
Alcaligenes spp.
Alkalilimnicola ehrlichii
Allenrolfea occidentalis
Alteromonas spp.
Amanita muscaria
Aphanothece halophytica
Archaeoglobus fulgidus
Arctodiaptomus muscalinus
Arhodomonas aquaeolei
Arhodomonas spp.
Artemia franciscana
Arthrobacter crystallopoietes
Arthrobacter globiformis
Arthrocnemum macrostachyum
Aspergillus flavus
Aspergillus fumigatus
Aspergillus niger
Asteromonas gracilis
Atriplex canescens
Atriplex halimus
Atriplex lentiformis
Atriplex patula
Avicennia germinans
Avicennia marina
Avicennia officinalis
Azospirillum brasilense
Azospirillum lipoferum
Azotobacter chroococcum
Azotobacter vinelandii
Bacillus cereus
Bacillus haloalkaliphilus
Bacillus halosaccharovorans
Bacillus licheniformis
Bacillus megaterium
Bacillus subtilis
Batis argillicola
Batis maritima
Beggiatoa alba
Brachionus plicatilis
Bradyrhizobium japonicum
Bruguiera cylindrica
Bruguiera gymnorhiza
Burkholderia cepacia
Burkholderia phytofirmans
Cellulomonas fimi
Cenococcum geophilum
Ceriops decandra
Ceriops tagal
Chaetomium globosum
Chitinophaga pinensis
Chromohalobacter marismortui
Chromohalobacter salexigens
Chromohalobacter spp.
Claroideoglomus etunicatum
Cletocamptus retrogressus
Clostridium acetobutylicum
Clostridium pasteurianum
Cyprideis torosa
Debaryomyces hansenii
Desulfohalobium retbaense
Desulfonatronovibrio halophilus
Desulfovibrio desulfuricans
Desulfovibrio halophilus
Distichlis spicata
Dunaliella salina
Dunaliella tertiolecta
Dunaliella viridis
Ephydra cinerea
Fabrea salina
Flavobacterium johnsoniae
Flavobacterium spp.
Frankia alni
Fusarium oxysporum
Fusarium solani
Geobacter sulfurreducens
Gigaspora margarita
Glaux maritima
Glomus intraradices
Gracilibacillus dipsosauri
Gracilibacillus kekensis
Halanaerobacter chitinivorans
Halanaerobium saccharolyticum
Halarchaeum acidiphilum
Haloarcula hispanica
Haloarcula marismortui
Haloarcula vallismortis
Halobacillus halophilus
Halobacillus litoralis
Halobacillus trueperi
Halobacterium noricense
Halobacterium salinarum
Halobacterium sp. DL1
Halobacterium sp. NRC-1
Halocella cellulolytica
Haloferax mediterranei
Haloferax sulfurifontis
Haloferax volcanii
Halohasta litchfieldiae
Halomonas elongata
Halomonas salina
Halomonas spp.
Halomonas titanicae
Halopiger xanaduensis
Halorhabdus tiamatea
Halorhodospira halochloris
Halorhodospira mobilis
Halorubrum lacusprofundi
Halorubrum saccharovorum
Halothiobacillus halophilus
Haloxylon ammodendron
Haloxylon persicum
Hebeloma cylindrosporum
Hortaea werneckii
Hoyosella subflava
Idiomarina loihiensis
Jeotgalibacillus alimentarius
Juncus gerardii
Keratella quadrata
Kochia prostrata
Kochia scoparia
Laccaria bicolor
Laguncularia racemosa
Laguncularia spp.
Limonium sinuatum
Limonium vulgare
Macrostomum spp.
Marinobacter hydrocarbonoclasticus
Marinococcus halophilus
Mesembryanthemum crystallinum
Methanobacterium bryantii
Methanobacterium formicicum
Methanococcus maripaludis
Methanohalobium evestigatum
Methanohalophilus halophilus
Methanohalophilus mahii
Methanohalophilus portucalensis
Methanosaeta concilii
Methanosalsum zhilinae
Methanosarcina barkeri
Methanosarcina mazei
Micrococcus luteus
Micromonospora purpurea
Mortierella alpina
Mortierella elongata
Mucor hiemalis
Mycobacterium smegmatis
Natronobacterium gregoryi
Natronococcus occultus
Natronomonas pharaonis
Nesterenkonia halobia
Nesterenkonia lacusekhoensis
Neurospora crassa
Nitraria schoberi
Nitraria sibirica
Nitrobacter winogradskyi
Nitrosomonas europaea
Nitrosopumilus maritimus
Nitrososphaera gargensis
Nitrososphaera viennensis
Nitrosospira multiformis
Nitrospira moscoviensis
Nocardia asteroides
Orenia marismortui
Paenibacillus polymyxa
Paracoccus denitrificans
Pedobacter heparinus
Penicillium chrysogenum
Penicillium expansum
Piloderma croceum
Plantago maritima
Podiceps nigricollis
Polypaecilum pisci
Pseudomonas aeruginosa
Pseudomonas fluorescens
Pseudomonas putida
Pseudomonas spp.
Puccinellia distans
Puccinellia maritima
Rhizobium etli
Rhizobium leguminosarum
Rhizophagus irregularis
Rhizophora apiculata
Rhizophora mangle
Rhizophora mucronata
Rhizopus stolonifer
Robertsonia salsa
Salicornia bigelovii
Salicornia europaea
Salicornia virginica
Salinibacter iranicus
Salinibacter ruber
Salinicoccus sediminis
Salinivibrio spp.
Salsola kali
Salsola soda
Sarcocornia fruticosa
Sarcocornia perennis
Scutellospora calospora
Shewanella oneidensis
Sinorhizobium meliloti
Sonneratia alba
Sonneratia caseolaris
Spartina alterniflora
Spartina anglica
Spartina patens
Spergularia marina
Spirochaeta spp.
Sporobolus maritimus
Sporohalobacter lortetii
Staphylococcus saprophyticus
Streptomyces avermitilis
Streptomyces coelicolor
Streptomyces griseus
Suaeda maritima
Suaeda monoica
Suaeda vera
Suillus luteus
Sulfolobus acidocaldarius
Synechococcus sp. PCC7002
Tamarix aphylla
Tamarix ramosissima
Tetragenococcus halophilus
Thalassobacillus devorans
Thaumarchaeota archaeon
Thermoproteus tenax
Thioalkalivibrio versutus
Thiobacillus thioparus
Trichoderma harzianum
Trichoderma viride
Triglochin maritima
Triglochin striata
Verticillium dahliae
Vibrio alginolyticus
Vibrio parahaemolyticus
Virgibacillus halodenitrificans
Wallemia ichthyophaga
Xylocarpus granatum
Xylocarpus moluccensis
